RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVERAGE,TOTAL SG:PUTTING,MEASURED ROUNDS,year,measure
1,1,Ben Crane,85,0.849,51.778,61,2006,sg_putting
2,2,Stewart Cink,93,0.789,57.589,73,2006,sg_putting
3,3,Rod Pampling,89,0.759,49.332,65,2006,sg_putting
4,4,Jim Furyk,89,0.743,50.539,68,2006,sg_putting
5,5,Brad Faxon,78,0.726,53.012,73,2006,sg_putting
6,6,Richard Johnson,94,0.725,61.593,85,2006,sg_putting
7,7,Jesper Parnevik,84,0.699,51.007,73,2006,sg_putting
8,8,Dean Wilson,115,0.661,61.488,93,2006,sg_putting
9,9,Brett Quigley,109,0.642,60.365,94,2006,sg_putting
10,10,David Howell,52,0.637,19.096,30,2006,sg_putting
11,11,Steve Stricker,64,0.614,31.92,52,2006,sg_putting
12,12,Aaron Baddeley,78,0.595,40.446,68,2006,sg_putting
13,13,Daniel Chopra,110,0.585,52.636,90,2006,sg_putting
14,14,Nathan Green,108,0.577,54.263,94,2006,sg_putting
15,15,Len Mattiace,59,0.556,28.89,52,2006,sg_putting
16,16,Brian Gay,107,0.548,54.848,100,2006,sg_putting
17,17,Tom Pernice Jr.,108,0.541,47.062,87,2006,sg_putting
18,18,Luke Donald,66,0.532,22.873,43,2006,sg_putting
19,19,Geoff Ogilvy,76,0.473,24.601,52,2006,sg_putting
20,20,Stephen Ames,63,0.462,20.307,44,2006,sg_putting
21,21,Tiger Woods,55,0.461,17.042,37,2006,sg_putting
22,22,Michael Allen,84,0.414,29.777,72,2006,sg_putting
23,23,Mark O'Meara,52,0.413,14.864,36,2006,sg_putting
24,24,José María Olazábal,62,0.375,14.64,39,2006,sg_putting
25,25,Vaughn Taylor,88,0.366,28.148,77,2006,sg_putting
26,26,Vance Veazey,59,0.364,19.654,54,2006,sg_putting
27,27,Larry Mize,53,0.363,14.872,41,2006,sg_putting
28,28,Carl Pettersson,95,0.361,27.089,75,2006,sg_putting
29,29,Brent Geiberger,99,0.36,32.401,90,2006,sg_putting
30,30,Stephen Leaney,84,0.347,26.747,77,2006,sg_putting
31,31,David Toms,76,0.338,20.968,62,2006,sg_putting
32,32,Tag Ridings,103,0.327,29.47,90,2006,sg_putting
33,33,Freddie Jacobson,56,0.319,17.225,54,2006,sg_putting
34,34,Paul Azinger,87,0.315,25.184,80,2006,sg_putting
35,35,Bernhard Langer,77,0.3,17.698,59,2006,sg_putting
36,36,Kent Jones,103,0.299,26.333,88,2006,sg_putting
T37,T37,Todd Fischer,101,0.297,26.718,90,2006,sg_putting
T37,T37,Ryan Moore,68,0.297,17.24,58,2006,sg_putting
39,39,Mark Wilson,79,0.269,19.349,72,2006,sg_putting
40,40,Phil Mickelson,74,0.268,12.573,47,2006,sg_putting
T41,T41,Greg Chalmers,71,0.266,15.18,57,2006,sg_putting
T41,T41,Davis Love III,85,0.266,15.181,57,2006,sg_putting
43,43,K.J. Choi,93,0.255,20.157,79,2006,sg_putting
44,44,Olin Browne,108,0.248,21.314,86,2006,sg_putting
45,45,David McKenzie,82,0.246,16.942,69,2006,sg_putting
46,46,Corey Pavin,74,0.226,12.863,57,2006,sg_putting
47,47,Jimmy Walker,60,0.223,12.498,56,2006,sg_putting
48,48,Jonathan Byrd,66,0.221,11.924,54,2006,sg_putting
T49,T49,Stuart Appleby,83,0.22,14.101,64,2006,sg_putting
T49,T49,Tim Clark,80,0.22,12.758,58,2006,sg_putting
51,51,Marco Dawson,87,0.219,16.896,77,2006,sg_putting
T52,T52,Eric Axley,91,0.214,16.919,79,2006,sg_putting
T52,T52,Danny Ellis,68,0.214,12.863,60,2006,sg_putting
T52,T52,Harrison Frazar,95,0.214,16.032,75,2006,sg_putting
55,55,J.J. Henry,96,0.196,15.112,77,2006,sg_putting
56,56,Ian Poulter,53,0.194,8.161,42,2006,sg_putting
57,57,Arjun Atwal,97,0.19,15.575,82,2006,sg_putting
58,58,Robert Allenby,79,0.188,11.272,60,2006,sg_putting
T59,T59,Greg Kraft,79,0.181,12.127,67,2006,sg_putting
T59,T59,Chris Smith,67,0.181,10.688,59,2006,sg_putting
61,61,John Cook,67,0.18,9.876,55,2006,sg_putting
62,62,Arron Oberholser,82,0.167,10.381,62,2006,sg_putting
63,63,Shigeki Maruyama,94,0.162,12.978,80,2006,sg_putting
64,64,David Duval,71,0.157,8.331,53,2006,sg_putting
65,65,Ted Purdy,103,0.145,11.622,80,2006,sg_putting
66,66,Frank Lickliter II,99,0.14,11.865,85,2006,sg_putting
T67,T67,Lucas Glover,105,0.138,11.844,86,2006,sg_putting
T67,T67,Jeff Sluman,101,0.138,11.427,83,2006,sg_putting
69,69,Shaun Micheel,96,0.133,10.399,78,2006,sg_putting
70,70,Tommy Armour III,65,0.13,6.863,53,2006,sg_putting
71,71,Retief Goosen,68,0.129,5.912,46,2006,sg_putting
72,72,Brandt Jobe,91,0.125,8.719,70,2006,sg_putting
73,73,Charley Hoffman,100,0.123,10.959,89,2006,sg_putting
74,74,Chris Riley,86,0.122,8.408,69,2006,sg_putting
75,75,Tim Petrovic,95,0.12,9.92,83,2006,sg_putting
76,76,Charles Howell III,96,0.11,8.713,79,2006,sg_putting
77,77,Steve Flesch,119,0.108,11.104,103,2006,sg_putting
78,78,Ron Whittaker,81,0.105,7.425,71,2006,sg_putting
79,79,Billy Mayfair,94,0.103,7.905,77,2006,sg_putting
T80,T80,D.A. Points,82,0.102,7.274,71,2006,sg_putting
T80,T80,John Rollins,93,0.102,7.766,76,2006,sg_putting
82,82,Skip Kendall,72,0.1,5.915,59,2006,sg_putting
83,83,Fred Funk,106,0.096,8.135,85,2006,sg_putting
84,84,J.L. Lewis,57,0.086,4.286,50,2006,sg_putting
T85,T85,Doug Barron,74,0.084,5.604,67,2006,sg_putting
T85,T85,Duffy Waldorf,96,0.084,6.867,82,2006,sg_putting
T87,T87,Ryan Palmer,101,0.081,6.672,82,2006,sg_putting
T87,T87,Scott Verplank,88,0.081,5.505,68,2006,sg_putting
T89,T89,Shane Bertsch,104,0.077,6.901,90,2006,sg_putting
T89,T89,Ben Curtis,86,0.077,5.126,67,2006,sg_putting
91,91,Henrik Bjornstad,97,0.071,6.29,89,2006,sg_putting
T92,T92,Jason Gore,86,0.065,4.715,72,2006,sg_putting
T92,T92,Hunter Mahan,98,0.065,5.743,89,2006,sg_putting
94,94,James Driscoll,80,0.064,4.839,76,2006,sg_putting
95,95,Kevin Sutherland,100,0.063,5.48,87,2006,sg_putting
96,96,Jason Schultz,77,0.06,3.873,65,2006,sg_putting
97,97,Kirk Triplett,58,0.059,2.907,49,2006,sg_putting
98,98,Trevor Immelman,86,0.058,4.243,73,2006,sg_putting
99,99,Vijay Singh,103,0.055,4.638,84,2006,sg_putting
100,100,Bo Van Pelt,102,0.047,4.247,90,2006,sg_putting
101,101,Zach Johnson,98,0.045,3.45,77,2006,sg_putting
102,102,Tjaart van der Walt,60,0.043,2.251,52,2006,sg_putting
103,103,J.P. Hayes,55,0.038,1.905,50,2006,sg_putting
104,104,Chris DiMarco,83,0.033,2.027,61,2006,sg_putting
105,105,Ryuji Imada,105,0.032,2.77,87,2006,sg_putting
106,106,Joe Ogilvie,95,0.023,1.812,78,2006,sg_putting
107,107,Brian Bateman,69,0.022,1.277,59,2006,sg_putting
